                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.85102,                 5.5189,                0.35634,                0.75588,                 1.0286,                0.86264,                0.74545,                0.77071,                0.59453,                0.71617,                0.77992,                0.66137,                0.32716,                 0.9059,                 4.6764,                0.14044,                0.63961,                 1.0312,               0.001208,               0.001208,               0.001208
                     62,                0.83011,                 5.7784,                0.35911,                 0.7534,                 1.0281,                0.92325,                0.70909,                0.80999,                0.62347,                 0.6841,                0.72727,                0.65346,                0.34979,                0.90598,                 4.6631,                0.14058,                0.63213,                 1.0287,              0.0011948,              0.0011948,              0.0011948
                     63,                  0.836,                 5.2581,                0.33998,                0.73078,                 1.0228,                0.87146,                0.73967,                0.79558,                0.62567,                0.69678,                0.79391,                0.69977,                0.36152,                0.84222,                 4.7234,                0.13257,                0.66326,                  1.011,              0.0011816,              0.0011816,              0.0011816
                     64,                  0.835,                 5.5353,                 0.3563,                0.70096,                 1.0157,                0.92983,                0.72291,                0.80458,                0.60319,                0.72682,                0.74545,                0.63705,                0.30211,                0.88621,                 4.9072,                0.13693,                0.71285,                 1.0047,              0.0011684,              0.0011684,              0.0011684
                     65,                0.84042,                 5.6289,                 0.3495,                0.72549,                 1.0415,                0.85195,                0.74545,                0.79558,                  0.613,                 0.6187,                0.78182,                0.67047,                 0.3214,                0.98856,                 4.8243,                0.13344,                0.69947,                 1.0506,              0.0011552,              0.0011552,              0.0011552
                     66,                0.82833,                 5.0989,                  0.328,                0.72338,                 1.0017,                0.86273,                0.74545,                0.77363,                0.59441,                0.71301,                0.63636,                0.60563,                 0.3412,                0.89455,                 4.7448,                 0.1178,                0.74421,                   1.08,               0.001142,               0.001142,               0.001142
                     67,                0.81693,                 5.5812,                 0.3466,                0.70671,                 1.0243,                0.85995,                0.74545,                0.76804,                0.58323,                0.70195,                0.72795,                 0.6297,                0.32613,                0.89241,                 4.7381,                0.10887,                0.68885,                 1.0071,              0.0011288,              0.0011288,              0.0011288
                     68,                   0.81,                  5.597,                0.35522,                0.73657,                 1.0059,                0.83941,                0.78182,                0.76881,                0.58161,                0.72445,                0.78182,                0.65548,                0.30859,                0.85447,                  4.645,                 0.1242,                0.69309,                0.97657,              0.0011156,              0.0011156,              0.0011156
                     69,                0.81889,                  5.442,                 0.3299,                0.73068,                 1.0051,                0.84061,                0.78182,                0.78293,                0.61643,                0.72927,                0.78182,                0.65077,                0.36946,                0.79486,                 4.5003,                0.12195,                0.62814,                0.96136,              0.0011024,              0.0011024,              0.0011024
                     70,                0.79865,                 5.3569,                0.34417,                0.68345,                0.99535,                0.88022,                0.70909,                0.75908,                0.59151,                0.68163,                0.72727,                0.63382,                0.33146,                0.86427,                 4.6822,                0.13269,                0.66984,                 1.0127,              0.0010892,              0.0010892,              0.0010892
